komentar_preprocessing,label,Nomor
well put together piece urban satire,positive,480
fitfully funny never really take,negative,481
piece play well thanks large measure anspaugh three lead actress,positive,482
asylum material gripping scene jia family,positive,483
cattaneo reworks formula made full monty smashing success neglect add magic made work,negative,484
movie suck despite flaw heaven one beast,positive,485
breheny lensing new zealand cook island location capture beauty land people,positive,486
thurman lewis hilarious throughout,positive,487
every often film come along insanely stupid awful many way watching leaf giddy half past dead achievement,negative,488
naipaul fan may disappointed acquainted author work hand may fall fast asleep,negative,489
generally clockstoppers fulfill wildest fantasy different kind time traveler happily killing minute,positive,490
short sweet also anything else slight tadpole pull back consequence action revelation,negative,491
fifty car pileup cliche,negative,492
cinematic disaster inadvertently sidesplitting worth price admission ridicule factor alone,negative,493
want funk movie got,positive,494
insufferably naive,negative,495
together writer director danny verete three tale comprise powerful reasonably fulfilling gestalt,positive,496
incredibly narrow joke targeted tiniest segment already obscure demographic,negative,497
crisp psychological drama fascinating little thriller would perfect old twilight zone episode,positive,498
superb production value christian bale charisma make derivative plot,positive,499
standing shadow motown best kind documentary one make depleted yesterday feel much like brand new tomorrow,positive,500
resurrection halloween franchise would better dead,negative,501
start promisingly disintegrates dreary humorless soap opera,negative,502
hoffman wait long turn movie unexpected direction even tone retains genteel prep school quality feel dusty leatherbound,negative,503
incredible number story holocaust generated think every possible angle exhausted documentarians another new film emerges yet another remarkable yet shockingly little known perspective,positive,504
one based truth story persuades every scene could never really happened way,negative,505
impostor step director gary fleder,negative,506
good naturedly cornball sequel,positive,507
documentary much conventional lot boring talking head etc subject matter justice,negative,508
forget one oscar nomination julianne moore year get five,positive,509
without pleasure stick tune,negative,510
magic original running time ace japanimator hayao miyazaki spirited away survives intact bv voiced version,positive,511
certain cue like happy music suggest movie supposed warm heart jeong hyang lee film likely blacken organ cold vengefulness,negative,512
expect major discovery stylish sizzle film sits square conviction touching good sense experience woman,positive,513
film cute idea several modest chuckle exactly kiddie friendly ala santa ho hum ho ho ho snowman never get play flute charm meltdown,negative,514
